gene_id,mean_group1,mean_group2,fold_change,log2_fold_change,p_value,test_statistic,p_value_adjusted
204381_at,6.830246615866256,6.691453791607335,0.9796796759963963,-0.029617983816765423,0.5555668087171679,0.6151165004320822,0.98162806621557
202428_x_at,11.852699682984916,11.771585306022176,0.9931564640012619,-0.009907073954677227,0.555597742042433,0.6150672591843868,0.98162806621557
213679_at,4.0584130665266365,4.090769525776195,1.0079726875306092,0.011456547470778008,0.5556142473861125,-0.6150409857904215,0.98162806621557
212518_at,7.853913996465333,7.913704541653888,1.007612834214312,0.01094140326599529,0.5556645184633516,-0.6149609665270706,0.98162806621557
211676_s_at,6.606751019000789,6.45080514436473,0.9763959812943511,-0.0344617376816935,0.5556808622905283,0.6149349520615247,0.98162806621557
221108_at,6.201216244279973,6.273485019657027,1.0116539679524506,0.016715906546943847,0.5556972123525753,-0.6149089281192328,0.98162806621557
201654_s_at,5.687683790586982,5.6033863203103405,0.9851789457043739,-0.021542298610028297,0.5557900274437764,0.6147612053782058,0.98162806621557
209918_at,6.495321092568324,6.385536547118839,0.9830979032622273,-0.024592998242518874,0.5557993615971422,0.6147463501140754,0.98162806621557
216466_at,4.121460389330563,4.149799178440208,1.006875909612769,0.009885892264669223,0.5558253387552807,-0.6147050083480038,0.98162806621557
220710_at,4.382570829901088,4.359728364442534,0.9947878844757727,-0.007539157812195491,0.5558508686364293,0.6146643795077164,0.98162806621557
204189_at,7.314262138752108,7.242381336184275,0.9901725148478071,-0.014248191278159477,0.5558835023425082,0.6146124470640366,0.98162806621557
208266_at,6.034504758599345,5.916724740752327,0.9804822396271744,-0.028436597089890218,0.5559293405178807,0.6145395043733712,0.98162806621557
221212_x_at,3.9516621524779225,3.916197656993269,0.9910254231975739,-0.013006026930087023,0.5559914922567446,0.6144406073758635,0.98162806621557
209896_s_at,9.010286145870683,8.837878390026079,0.9808654516567582,-0.02787284380516527,0.5560076140589307,0.614414955120305,0.98162806621557
219979_s_at,5.3501365879895815,5.500855099121437,1.028170965105863,0.040080176985714235,0.5560170753624878,-0.6143999009400494,0.98162806621557
211136_s_at,9.332543290169541,9.12706403829965,0.9779825021453334,-0.03211944187139015,0.5560534360466682,0.6143420476939063,0.98162806621557
216437_at,5.055552972148419,4.979649051068041,0.9849860299163037,-0.02182483195631311,0.5560738439171083,0.6143095778329248,0.98162806621557
206122_at,6.623068002376505,6.505055003837162,0.9821815209360681,-0.02593841540513206,0.55614575397542,0.6141951711659165,0.98162806621557
207152_at,6.909262645855636,6.883295067687282,0.9962416281592754,-0.005432399311324094,0.5562364887229603,0.6140508273264563,0.98162806621557
